Link,Name,Status
https://genealogy.math.ndsu.nodak.edu/id.php?id=78,Robert Bueker,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=79,William Waltman,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=80,Leonard Peterson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=81,Gene Kemper,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=82,James Rue,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=83,"Edgar Rutter, Jr.",Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=84,Jens Jensen,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=85,Gary Anderson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=86,Theordore Boessenroth,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=87,James Delany,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=88,Malcolm Tobey,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=89,James Washenberger,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=90,Phillip Bender,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=91,Mohamed Mahrous,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=92,Keith Smith,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=93,William Wagner,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=94,Edwin Ecker,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=95,Raymond Guenther,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=96,Anthony Irudayanathan,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=97,Dennis Zill,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=98,Kenneth Kopecky,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=99,Ronald Riess,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=100,David Simpson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=101,James Watson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=102,Lonny Winrich,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=103,Douglas Curtis,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=104,Paul Haeder,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=105,Robert McCoy,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=106,John Clark,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=107,Joseph O'Brien,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=108,Werner Shoultz,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=109,Thomas Wineinger,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=110,Wayne Woodworth,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=111,Richard Sincovec,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=112,Albert Erisman,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=113,George Haddix,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=114,James Baker,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=115,Shang-Wang Chang,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=116,Michael Engquist,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=117,Dale Rognlie,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=118,William Johnson,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=119,"Robert Shive, Jr.",Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=120,George Strawn,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=121,Boniface Eke,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=122,Melvin Klasi,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=123,Clive Sommer,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=124,James Brink,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=125,Clyde Vogeley,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=126,Ervin Eltze,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=127,Pi-Chun Chuang,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=128,David Oakland,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=129,Daryl Fischer,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=130,Jack Girolo,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=131,Galen Peters,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=132,Marcus Saegrove,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=133,David Voss,Valid
https://genealogy.math.ndsu.nodak.edu/id.php?id=134,Michael White,Valid
